bank_name_en,bank_name_th,promotion_category,special_day,promotion_description,promotion_title,shop,credit_card,start_date,end_date,registration_process,shop_location,promotion_banner,promotion_link,customer_segment
KBank,กสิกรไทย,ไลฟ์สไตล์,"วันวาเลนไทน์
","2,222 คะแนน แลกตั๋วหนัง 2 ที่นั่ง
ช่องทางการแลกคะแนน: แลกคะแนนผ่าน K PLUS เท่านั้น
สำหรับที่นั่งปกติระบบ 2D เมเจอร์ ซีนีเพล็กซ์ และอีจีวี ทุกสาขาที่ร่วมรายการ มูลค่าที่นั่งระหว่าง 190 – 260 บาท
สำหรับที่นั่ง Deluxe ระบบปกติ มูลค่า 240 บาท ที่โรงภาพยนตร์ในเครือเอส เอฟ ที่ร่วมรายการ (ยกเว้น สาขา Emprive Cineclub)",วาเลนไทน์นี้ ให้คุณสนุก X2 ด้วย KBank Reward Point,"เมเจอร์ ซีนีเพล็กซ์
Major Cineplex  
อีจีวี
EGV
เอส เอฟ
SF
","KBank Platinum
Line Points
Shopee
Blue
The Passion
OneSiam Platinum
OneSiam Signature
OneSiam Infinite
JCB Platinum
K-Wave NFC
UnionPay
Titanium
King Power Platinum
King Power Signature
BDMS
CGA / SFT
Amway
Thammasat University
MTL Pink (Platinum)
MTL Pink Gold (Signature) 
The Wisdom (Visa Infinite)
The Wisdom
The Premier",14/2/2020 ,29/2/2020 ,ไม่ต้องลงทะเบียน,ประเทศไทย,https://www.kasikornbank.com/th/promotion/credit-card/others/publishingimages/valentinesfmajor_2280x980.jpg,https://www.kasikornbank.com/th/promotion/credit-card/others/pages/valentinesfmajor.aspx,วัยรุ่น
KBank,กสิกรไทย,ช้อปปิ้ง,"วันวาเลนไทน์
","ต่อที่ 1 รับเครดิตเงินคืนสูงสุด 100,000 บาท วันที่ 1 ก.พ.2566 ถึง 30 เม.ย.2566
ต่อที่ 2 รับสิทธิพิเศษจากร้านค้า 
Jubilee of LoVe Collection รับเพิ่ม! ตุ๊กตาหมี sweet valentine bear มูลค่า 3,590 บาท
เมื่อซื้อสินค้า Jubilee of LoVe Collection ครบ 29,900 บาทขึ้นไป วันนี้ - 28 ก.พ.2566
",เป็นเจ้าของเพชรในฝันได้ง่ายๆ รับดีลดี ห้ามพลาด!,"Jubilee, Prima, For U Jewelry, Ananta Jewelry, Dilavie, Regent Diamond, Asawa Dianond, JTD Diamond, Rose Jewelry Studio, Elizabeth jewelry, Trocadero Time, CR Diamond, NGG, Petch Gub Tong, Phattara Menee, Oriental Diamond","KBank Platinum
Line Points
Shopee
Blue
The Passion
OneSiam Platinum
OneSiam Signature
OneSiam Infinite
JCB Platinum
K-Wave NFC
UnionPay
Titanium
King Power Platinum
King Power Signature
BDMS
CGA / SFT
Amway
Thammasat University
MTL Pink (Platinum)
MTL Pink Gold (Signature) 
The Wisdom (Visa Infinite)
The Wisdom
The Premier",1/2/2023 ,30/4/2023 ,สงวนสิทธิ์เฉพาะผู้ถือบัตรเครดิตกสิกรไทยที่ลงทะเบียนเข้าร่วมโครงการ ผ่าน SMS พิมพ์ DMA (เว้นวรรค) ตามด้วยหมายเลขบัตรเครดิต 12 หลักสุดท้าย ส่งมาที่ 4545888 และได้รับข้อความตอบกลับก่อนทำรายการ ตั้งแต่วันที่ 1 ก.พ. 66 – 30 เม.ย. 66 เท่านั้น,ประเทศไทย,https://www.kasikornbank.com/th/promotion/credit-card/shopping/publishingimages/diamond010223_2280x980px.jpg,https://www.kasikornbank.com/th/promotion/credit-card/shopping/pages/diamond010223.aspx,วัยกลางคน
KBank,กสิกรไทย,ออนไลน์ช้อปปิ้ง,"-","รับส่วนลด 8% เมื่อช้อปสินค้าที่ร่วมรายการครบ 4,000 บาทขึ้นไป/เซลส์สลิป 
(ลดสูงสุด 400 บาท และจำกัด 400 สิทธิ์/ตลอดรายการ)",JD Central Valentine,ช้อปผ่าน www.jd.co.th หรือ JD Central Mobile Website หรือ JD Central Mobile Application,"KBank Platinum
Line Points
Shopee
Blue
The Passion
OneSiam Platinum
OneSiam Signature
OneSiam Infinite
JCB Platinum
K-Wave NFC
UnionPay
Titanium
King Power Platinum
King Power Signature
BDMS
CGA / SFT
Amway
Thammasat University
MTL Pink (Platinum)
MTL Pink Gold (Signature) 
The Wisdom (Visa Infinite)
The Wisdom
The Premier",1/2/2022 ,28/2/2022 ,ไม่ต้องลงทะเบียน,Online,https://www.kasikornbank.com/th/promotion/credit-card/online/publishingimages/jdcentral02022022_2280x980px.jpg,https://www.kasikornbank.com/th/promotion/credit-card/online/pages/jdcentral02022022.aspx,All
KBank,กสิกรไทย,เที่ยว,"วันวาเลนไทน์
","สิทธิพิเศษสำหรับผู้ถือบัตรเครดิตเจซีบีกสิกรไทย
ที่ร้านค้าในประเทศญี่ปุ่น
รับเครดิตเงินคืนสูงสุด 10%*
เมื่อมียอดใช้จ่ายเป็นสกุลเงินเยน ที่ร้านค้าในประเทศญี่ปุ่น 
พร้อมรับ K Point K Point x2 ทุกการใช้จ่ายในญี่ปุ่น

*จำกัดรับเครดิตเงินคืนสูงสุด 5,000 เยน (จากยอดใช้จ่ายสะสม 50,000 เยนขึ้นไป) / หมายเลขบัตรเครดิต / ตลอดรายการ
ระยะเวลา: 1 ก.พ. 2567 – 30 เม.ย. 2567",เที่ยวญี่ปุ่นสุขเกินคาด กิน เที่ยว ช็อป,ร้านค้าในประเทศญี่ปุ่น,JCB Platinum,1/2/2024 ,30/4/2024 ,ไม่ต้องลงทะเบียน,Japan,https://www.kasikornbank.com/th/promotion/credit-card/shopping/publishingimages/jcbjapan010224_2280x1000.jpg,https://www.kasikornbank.com/th/promotion/credit-card/shopping/pages/jcbjapan010224.aspx,วัยกลางคน
KBank,กสิกรไทย,ช้อปปิ้ง,วันคริสต์มาส,"ต่อที่ 1 รับ K Point เพิ่มสูงสุด 25,000 คะแนน + แลกรับเครดิตเงินคืน 12% ที่ ศูนย์การค้า GAYSORN VILLAGE
20,000 บาทขึ้นไป	คะแนนพิเศษ 2,000 คะแนน
150,000 บาทขึ้นไป	คะแนนพิเศษ 25,000 คะแนน
จำกัดการรับคะแนน K Point พิเศษสูงสุด 25,000 คะแนน/ท่าน/ตลอดรายการ

ต่อที่ 2 รับเครดิตเงินคืน 12%**
เพียงใช้คะแนน K Point แลกเท่ายอดซื้อ","สุขกับเทศกาล รับดีลพิเศษ ในงาน GAYSORN CHRISTMAS VILLAGE รับ K Point เพิ่มสูงสุด 25,000 คะแนน + แลกรับเครดิตเงินคืน 12% ที่ ศูนย์การค้า GAYSORN VILLAGE",ศูนย์การค้า GAYSORN VILLAGE,"KBank Platinum
Line Points
Shopee
Blue
The Passion
OneSiam Platinum
OneSiam Signature
OneSiam Infinite
JCB Platinum
K-Wave NFC
UnionPay
Titanium
King Power Platinum
King Power Signature
BDMS
CGA / SFT
Amway
Thammasat University
MTL Pink (Platinum)
MTL Pink Gold (Signature) 
The Wisdom (Visa Infinite)
The Wisdom
The Premier",15/11/2023 ,7/1/2024 ,"วิธีการลงทะเบียน
พิมพ์ SPC (วรรค) หมายเลขบัตรเครดิต 12 หลักสุดท้าย (วรรค)
​จำนวนคะแนนที่ต้องการแลก ส่งมาที่ 4545888 (ครั้งละ 3 บาท)",กรุงเทพ,https://www.kasikornbank.com/th/promotion/credit-card/shopping/publishingimages/gaysorn09112023_2280x1000px.jpg,https://www.kasikornbank.com/th/promotion/credit-card/shopping/pages/gaysorn09112023.aspx,วัยเกษียณ
KBank,กสิกรไทย,ช้อปปิ้ง,วันคริสต์มาส,"สิทธิพิเศษสำหรับบัตรเครดิตกสิกรไทยในงาน Jubilee Diamond Christmas Mega Sale
ต่อที่ 1 ส่วนลดสูงสุด 60%* มากกว่า 20,000 ชิ้น
Buy 1 Get 1 Free มากกว่า 1,000 รายการ ซื้อแหวนเพชร รับฟรีต่างหูเพชร มูลค่า 32,000 บาท(100ท่านแรก) ปกติรวม 70,000 บาท จ่ายเพียง 19,900 บาท
Special Highlight รับสิทธิ์ซื้อแหวนเพชรน้ำ 100 เพียง 99,000 บาท(100ท่านแรก)รับฟรี ต่างหูเพชรน้ำ 99 มูลค่า 60,000 บาท(50ท่านแรก)
Lucky Draw ลุ้นรับฟรี Christmas Gifts เครื่องประดับเพชร จับแจกรางวัลสอยดาวทุกวัน เฉพาะงานนี้เท่านั้น
ต่อที่ 2 รับส่วนลดเพิ่ม สูงสุด 15%**
เมื่อใช้คะแนนสะสม K Point K Point แลกเท่ายอดใช้จ่าย หรือ แลกทุกๆ 1,000 คะแนน แทนเงิน 150 บาท สิทธิพิเศษสำหรับรายการชำระเต็มจำนวน / ผ่อนชำระ
ต่อที่ 3 รับบัตรกำนัล Central สูงสุด 300,000 บาท*** เมื่อแบ่งจ่าย 0% นาน 4 เดือน",ช้อปจิวเวลรี่คริสต์มาสนี้ รับดีลสุดอลัง 4 วันเท่านั้น,โรงแรม Sofitel Bangkok Sukhumvit,"KBank Platinum
Line Points
Shopee
Blue
The Passion
OneSiam Platinum
OneSiam Signature
OneSiam Infinite
JCB Platinum
K-Wave NFC
UnionPay
Titanium
King Power Platinum
King Power Signature
BDMS
CGA / SFT
Amway
Thammasat University
MTL Pink (Platinum)
MTL Pink Gold (Signature) 
The Wisdom (Visa Infinite)
The Wisdom
The Premier",22/12/2022 ,25/12/2022 ,ไม่ต้องลงทะเบียน,กรุงเทพ,https://www.kasikornbank.com/th/promotion/credit-card/shopping/publishingimages/jubilee19122022_2280x980px.jpg,https://www.kasikornbank.com/th/promotion/credit-card/shopping/Pages/jubilee19122022.aspx,วัยเกษียณ
KBank,กสิกรไทย,กิน,"วันคริสต์มาส, วันปีใหม่","โรงแรมเดอะ เซนต์ รีจิส กรุงเทพฯ ขอต้อนรับเทศกาลในเดือนธันวาคม สำหรับลูกค้าเดอะวิสดอมกสิกรไทยด้วยโปรโมชัน
ส่วนลด 15% สำหรับโปรโมชั่นมื้ออาหาร (เฉพาะค่าอาหาร) และ กล่องของขวัญในเทศกาลปลายปี อาทิ 
กล่องของขวัญเดอะ เซนต์ รีจิส กรุงเทพฯ ที่เดอะเลานจ์
ชุดน้ำชายามบ่าย “Festive Afternoon Tea” ที่เดอะ เซนต์ รีจิส บาร์ และเดอะ ดรอว์อิ้งรูม
บุฟเฟต์มื้อสาย และมื้อค่ำวันคริสต์มาส “Christmas Eve Favorites Brunch & Dinner” ในวันที่ 24 ธ.ค. ที่ห้องอาหารวูว์
บุฟเฟต์มื้อสายวันคริสต์มาส “Christmas Day Brunch” ในวันที่ 25 ธ.ค. ที่ห้องอาหารวูว์
บุฟเฟต์มื้อสาย และมื้อค่ำวันสิ้นปี “New Year’s Eve Favorites Brunch & Dinner” ในวันที่ 31 ธ.ค. ที่ห้องอาหารวูว์
เคาท์ดาวน์ปีใหม่ “New Year’s Eve Countdown” ในวันที่ 31 ธ.ค. ที่เดอะ เซนต์ รีจิส บาร์
บุฟเฟต์มื้อสายวันปีใหม่ “New Year’s Day Brunch” ในวันที่ 1 ม.ค. ที่ห้องอาหารวูว์","โรงแรมเดอะ เซนต์ รีจิส กรุงเทพฯ ขอต้อนรับเทศกาลในเดือนธันวาคม สำหรับลูกค้าเดอะวิสดอมกสิกรไทยด้วยโปรโมชัน
ส่วนลด 15% สำหรับโปรโมชั่นมื้ออาหาร (เฉพาะค่าอาหาร) และ กล่องของขวัญในเทศกาลปลายปี",โรงแรมเดอะ เซนต์ รีจิส กรุงเทพ,"The Wisdom (Visa Infinite)
The Wisdom",6/12/2023 ,1/1/2024 ,"วิธีการรับสิทธิ์ :
สมัครบริการ THE WISDOM Privilege บนแอปพลิเคชัน LINE KBank Live
เข้าสู่ LINE KBank Live เข้าเลือกเมนู THE WISDOM Privilege (รูปกล่องของขวัญ)
เลือกสิทธิพิเศษที่ต้องการ หรือ คลิกที่นี่(เมื่อใช้งานบนโทรศัพท์มือถือ) จากนั้นกดรับสิทธิ์ และ กดปุ่มยืนยัน
แสดงรหัสโปรโมชั่นใต้ QR CODE และบัตรเดอะวิสดอมกสิกรไทยต่อเจ้าหน้าที่สาขาก่อนชำระสินค้า 
* กรุณาจองสิทธิ์ล่วงหน้า 3 วัน และ ชำระเงินเต็มจำนวนก่อนเข้าใช้บริการ",กรุงเทพ,https://www.kasikornbank.com/th/personal/the-wisdom/Privileges/special-privileges/Recommended/PublishingImages/Onward84_2023/08_st.Regis_Dec2023_Banner.jpg,https://www.kasikornbank.com/th/personal/the-wisdom/privileges/special-privileges/recommended/pages/onward84_the-st--regis-bangkok_2023.aspx,"วัยรุ่น
วัยกลางคน"
KBank,กสิกรไทย,ช้อปปิ้ง,สงกรานต์,"ช็อปชุ่มฉ่ำรับสงกรานต์ สาดพ้อยท์เพียบ แบ่งจ่ายสบาย
ชำระเต็มจำนวนรับคะแนน k point สูงสุด 20,000 คะแนน
เมื่อแบ่งจ่ายนาน 6-10 เดือน รับบัตรของขวัญเซ็นพ้อยท์สูงสุด 25,000 บาท",สาดสุข สงกรานต์,ห้างสรรพสินค้าโรบินสันทุกสาขา,"KBank Platinum
Line Points
Shopee
Blue
The Passion
OneSiam Platinum
OneSiam Signature
OneSiam Infinite
JCB Platinum
K-Wave NFC
UnionPay
Titanium
King Power Platinum
King Power Signature
BDMS
CGA / SFT
Amway
Thammasat University
MTL Pink (Platinum)
MTL Pink Gold (Signature) 
The Wisdom (Visa Infinite)
The Wisdom
The Premier",7/4/2021 ,20/4/2021 ,ไม่ต้องลงทะเบียน,ประเทศไทย,https://www.kasikornbank.com/th/promotion/credit-card/shopping/publishingimages/robinsonsongkransale07042021_2280x980.jpg,https://www.kasikornbank.com/th/promotion/credit-card/shopping/pages/robinsonsongkransale07042021.aspx,วัยรุ่น
KBank,กสิกรไทย,ออนไลน์ช้อปปิ้ง,สงกรานต์,"รับโค้ดส่วนลด 120 บาท
เมื่อช้อปครบ 1,699 บาทขึ้นไป/เซลส์สลิป 
ระบุโค้ด KBANKCCDD423
(จำกัด 1,111 สิทธิ์/ตลอดรายการ)",ช็อปไอเท็มฮอตรับซัมเมอร์กับ lazada 4.4,lazada,"KBank Platinum
Line Points
Shopee
Blue
The Passion
OneSiam Platinum
OneSiam Signature
OneSiam Infinite
JCB Platinum
K-Wave NFC
UnionPay
Titanium
King Power Platinum
King Power Signature
BDMS
CGA / SFT
Amway
Thammasat University
MTL Pink (Platinum)
MTL Pink Gold (Signature) 
The Wisdom (Visa Infinite)
The Wisdom
The Premier",4/4/2023 ,5/4/2023 ,ไม่ต้องลงทะเบียน,ประเทศไทย,https://www.kasikornbank.com/th/promotion/credit-card/online/publishingimages/lazada040423_2280x1000px.jpg,https://www.kasikornbank.com/th/promotion/credit-card/online/pages/lazada040423.aspx,วัยรุ่น
KBank,กสิกรไทย,ออนไลน์ช้อปปิ้ง,สงกรานต์,"รับคะแนน K Point K Point สูงสุด X5
เมื่อใช้จ่ายที่ร้านค้าออนไลน์ที่ร่วมรายการ (เฉพาะรายการชำระเต็มจำนวน)",สาดดีลเด็ด รับสงกรานต์ ถอยคอสตูมใหม่ รับ K Point จุก สูงสุด x5,"Advice, AIS Online Store, Banana IT, BnB Home, CENTRAL APP, DO Home, dtac online Store, Firster, Freshket, Gourmet Market, H&M Online, Home Pro Online, Ikea, Index Living Mall, JIB, King Power Online, Lotus's Shop Online, MOnline.com, Nocnoc.Com, Power Buy, Studio7 thailand.com, SCG Home, SCG Home Experience, Sephora, SB Design Square, topvalue.com, True Online Store, TV Direct, Villa Market, Zara, ตลาดไท ออนไลน์, บุญถาวร.com, ไทวัสดุ","KBank Platinum
Line Points
Shopee
Blue
The Passion
OneSiam Platinum
OneSiam Signature
OneSiam Infinite
JCB Platinum
K-Wave NFC
UnionPay
Titanium
King Power Platinum
King Power Signature
BDMS
CGA / SFT
Amway
Thammasat University
MTL Pink (Platinum)
MTL Pink Gold (Signature) 
The Wisdom (Visa Infinite)
The Wisdom
The Premier",1/3/2023 ,31/5/2023 ,"วิธีการลงทะเบียน
พิมพ์ OL เว้นวรรค ตามด้วยหมายเลขบัตรเครดิต 12 หลักสุดท้าย ส่งมาที่ 4545888 (ครั้งละ 3 บาท)",ประเทศไทย,https://www.kasikornbank.com/th/promotion/credit-card/online/publishingimages/songkran010423_2280x1000px.jpg,https://www.kasikornbank.com/th/promotion/credit-card/online/pages/songkran010423.aspx,"วัยรุ่น
วัยกลางคน"
